access_group_id,id,asset_id,set_type_code,set_type_size,found_in_api
6,AAIWBT,dbs-web,text_format,NT,no
6,AAIWBT,dbs-web,text_plain,NT,no
6,AAKWBT,dbs-web,text_format,NT,no
6,AAKWBT,dbs-web,text_plain,NT,no
6,AAUWBT,dbs-web,text_plain,NT,no
6,AAUWBT,dbs-web,text_format,NT,no
6,AAZANT,dbs-web,text_format,NTOTP,no
6,AAZANT,dbs-web,text_plain,NTOTP,no
7,AAZEPC,dbp-prod,text_plain,NT,no
7,AAZEPC,dbp-prod,text_plain,NT,no
6,ABTWBT,dbs-web,text_plain,NT,no
6,ABTWBT,dbs-web,text_format,NT,no
6,ABTWWT,dbs-web,text_plain,NT,no
6,ABTWWT,dbs-web,text_format,NT,no
6,ABXWBT,dbs-web,text_format,NT,no
6,ABXWBT,dbs-web,text_plain,NT,no
6,ABYWBT,dbs-web,text_plain,NT,no
6,ABYWBT,dbs-web,text_format,NT,no
6,ACCIBS,dbs-web,text_plain,NT,no
6,ACCIBS,dbs-web,text_format,NT,no
6,ACCNNT,dbs-web,text_format,NT,no
6,ACCNNT,dbs-web,text_plain,NT,no
6,ACFWBT,dbs-web,text_format,NT,no
6,ACFWBT,dbs-web,text_plain,NT,no
6,ACRNNT,dbs-web,text_format,NT,no
6,ACRNNT,dbs-web,text_plain,NT,no
6,ACRTNT,dbs-web,text_plain,NT,no
6,ACRTNT,dbs-web,text_format,NT,no
7,ACUPIL,dbp-prod,text_plain,NT,no
7,ACUPIL,dbp-prod,text_plain,NT,no
7,ACUPILN1DA,dbp-prod,audio,NT,no
7,ACUPILN1DA,dbp-prod,audio,NT,no
6,ACUTBL,dbs-web,text_format,NT,no
6,ACUTBL,dbs-web,text_plain,NT,no
6,ADYIBT,dbs-web,text_format,OTP,no
6,ADYIBT,dbs-web,text_plain,OTP,no
7,ADYIBT,dbp-prod,text_plain,OTP,no
7,ADYIBT,dbp-prod,text_plain,OTP,no
7,ADYIBT,dbp-prod,text_format,OTP,no
7,ADYIBT,dbp-prod,text_format,OTP,no
6,ADZAMV,dbs-web,text_plain,OTP,no
6,ADZAMV,dbs-web,text_format,OTP,no
6,AEYWBT,dbs-web,text_plain,NTOTP,no
6,AEYWBT,dbs-web,text_format,NTOTP,no
7,AFRNVVN2DA,dbp-prod,audio_drama,NT,no
7,AFRNVVN2DA,dbp-prod,audio_drama,NT,no
7,AFRNVVP2DA,dbp-prod,audio_drama,OTP,no
7,AFRNVVP2DA,dbp-prod,audio_drama,OTP,no
6,AGDWBT,dbs-web,text_plain,NT,no
6,AGDWBT,dbs-web,text_format,NT,no
6,AGGPNG,dbs-web,text_plain,NT,no
6,AGGPNG,dbs-web,text_format,NT,no
6,AGMWBT,dbs-web,text_format,NT,no
6,AGMWBT,dbs-web,text_plain,NT,no
6,AGNWPS,dbs-web,text_format,NT,no
6,AGNWPS,dbs-web,text_plain,NT,no
6,AGRTBL,dbs-web,text_format,NTOTP,no
6,AGRTBL,dbs-web,text_plain,NT,no
6,AGTWBT,dbs-web,text_plain,NT,no
6,AGTWBT,dbs-web,text_format,NT,no
6,AGUNVS,dbs-web,text_plain,NT,no
6,AGUNVS,dbs-web,text_format,NTOTP,no
7,AGUWBT,dbp-prod,text_plain,NT,no
7,AGUWBT,dbp-prod,text_plain,NT,no
6,AGXIBT,dbs-web,text_format,NTP,no
6,AGXIBT,dbs-web,text_plain,NTP,no
7,AHKBIV,dbp-prod,text_format,NTOTP,no
7,AHKBIV,dbp-prod,text_plain,NTOTP,no
7,AHKBIV,dbp-prod,text_plain,NTOTP,no
7,AHKBIV,dbp-prod,text_format,NTOTP,no
6,AIIWBT,dbs-web,text_plain,NTOTP,no
6,AIIWBT,dbs-web,text_format,NTOTP,no
7,AK1BSGP2DV,dbp-vid,video_stream,NTP,no
7,AK1BSGP2DV,dbp-vid,video_stream,NTP,no
6,AKEBSS,dbs-web,text_format,NT,no
6,AKEBSS,dbs-web,text_plain,NT,no
6,AKHBSP,dbs-web,text_plain,NT,no
6,AKHBSP,dbs-web,text_format,NT,no
6,ALPWBT,dbs-web,text_plain,NT,no
6,ALPWBT,dbs-web,text_format,NT,no
6,ALQWBT,dbs-web,text_plain,NT,no
6,ALQWBT,dbs-web,text_format,NT,no
2,ALSABV,dbp-prod,text_plain,C,no
2,ALSABV,dbp-prod,text_format,NT,no
7,ALSBSAP2DV,dbp-vid,video_stream,NTP,no
7,ALSBSAP2DV,dbp-vid,video_stream,NTP,no
2,ALSSHQ,dbs-web,text_plain,C,no
2,ALSSHQ,dbs-web,text_format,C,no
6,ALTIBT,dbs-web,text_format,NT,no
6,ALTIBT,dbs-web,text_plain,NT,no
7,ALTIBTP2DV,dbp-vid,video_stream,NTP,no
7,ALTIBTP2DV,dbp-vid,video_stream,NTP,no
7,ALZBSUP2DV,dbp-vid,video_stream,NTP,no
7,ALZBSUP2DV,dbp-vid,video_stream,NTP,no
6,AMETBL,dbs-web,text_plain,NT,no
6,AMETBL,dbs-web,text_format,NT,no
6,AMFSIM,dbs-web,text_plain,NT,no
6,AMFSIM,dbs-web,text_format,NT,no
6,AMHUBS,dbs-web,text_plain,NT,no
6,AMHUBS,dbs-web,text_format,NT,no
6,AMKWBT,dbs-web,text_plain,NT,no
6,AMKWBT,dbs-web,text_format,NT,no
6,AMMWBT,dbs-web,text_format,NT,no
6,AMMWBT,dbs-web,text_plain,NT,no
6,AMNNAI,dbs-web,text_plain,NT,no
6,AMNNAI,dbs-web,text_format,NT,no
6,AMNWBT,dbs-web,text_format,NT,no
6,AMNWBT,dbs-web,text_plain,NT,no
6,AMPWBT,dbs-web,text_plain,NT,no
6,AMPWBT,dbs-web,text_format,NT,no
6,AMRWBT,dbs-web,text_plain,NT,no
6,AMRWBT,dbs-web,text_format,NT,no
6,AMULLB,dbs-web,text_format,NT,no
6,AMULLB,dbs-web,text_plain,NT,no
